1,2,N50Q_5,6783000Y8A,20260714,121309,F,0,1,,FFPFFPPPPPNN,1,F,3,20260714,121250,0,,,0,0

 2393, U1_1348_1,    0.864V ,    0.864V ,  35.0,  35.0, 2, U, 1, 447, A1, 2.2138654V , 1
 2555, U1_286_148,    0.556V ,    0.556V ,  35.0,  35.0, 2, U, 423, 21, A1, 1.9055372V , 1
 2556, U1_287_148,    0.599V ,    0.599V ,  35.0,  35.0, 2, U, 426, 21, A1, 1.9495359V , 1
 2557, U1_289_148,    0.620V ,    0.620V ,  35.0,  35.0, 2, U, 412, 21, A1, -0.1607934V , 1
 2560, U1_296_148,    0.636V ,    0.636V ,  35.0,  35.0, 2, U, 415, 21, A1, 1.8367102V , 1
 2568, U1_320_148,    0.577V ,    0.577V ,  35.0,  35.0, 2, U, 413, 21, A1, 1.9071418V , 1
 2572, U1_325_148,    0.634V ,    0.634V ,  35.0,  35.0, 2, U, 419, 21, A1, 1.9823870V , 1
 2589, U1_420_148,    0.561V ,    0.561V ,  35.0,  35.0, 2, U, 429, 21, A1, 0.8427298V , 1
 2593, U1_433_148,    0.560V ,    0.560V ,  35.0,  35.0, 2, U, 414, 21, A1, 1.9106043V , 1
 2597, U1_442_148,    0.565V ,    0.565V ,  35.0,  35.0, 2, U, 424, 21, A1, 0.8813236V , 1
 2600, U1_447_148,    0.629V ,    0.629V ,  35.0,  35.0, 2, U, 420, 21, A1, 1.1015701V , 1
 2665, U1_794_148,    0.554V ,    0.554V ,  35.0,  35.0, 2, U, 396, 21, A1, 1.9009769V , 1
 2666, U1_795_148,    0.597V ,    0.597V ,  35.0,  35.0, 2, U, 400, 21, A1, 0.8543840V , 1
 2682, U1_885_148,    0.563V ,    0.563V ,  35.0,  35.0, 2, U, 407, 21, A1, 1.9103509V , 1
 2685, U1_898_148,    0.556V ,    0.556V ,  35.0,  35.0, 2, U, 404, 21, A1, 1.9051994V , 1
 2688, U1_912_148,    0.558V ,    0.558V ,  35.0,  35.0, 2, U, 397, 21, A1, 1.9051994V , 1
 2689, U1_915_148,    0.600V ,    0.600V ,  35.0,  35.0, 2, U, 408, 21, A1, 0.8980448V , 1
 2692, U1_928_148,    0.568V ,    0.568V ,  35.0,  35.0, 2, U, 406, 21, A1, 1.9151646V , 1
 2693, U1_931_148,    0.600V ,    0.600V ,  35.0,  35.0, 2, U, 401, 21, A1, 1.9492825V , 1
 2699, U1_955_148,    0.631V ,    0.631V ,  35.0,  35.0, 2, U, 398, 21, A1, 1.9781645V , 1
 2700, U1_956_148,    0.635V ,    0.635V ,  35.0,  35.0, 2, U, 402, 21, A1, 0.0109785V , 1
 2702, U1_965_148,    0.636V ,    0.636V ,  35.0,  35.0, 2, U, 405, 21, A1, 1.9838227V , 1
 2703, U1_966_148,    0.634V ,    0.634V ,  35.0,  35.0, 2, U, 409, 21, A1, 0.8767633V , 1
 2715, U1_1004_148,    0.894V ,    0.894V ,  35.0,  35.0, 2, U, 439, 21, A1, 2.2421563V , 1
 2759, U1_1205_148,    1.154V ,    1.154V ,  35.0,  35.0, 2, U, 445, 21, A1, 2.5021788V , 1
 2779, U1_1247_148,    1.178V ,    1.178V ,  35.0,  35.0, 2, U, 339, 21, A1, 0.5099111V , 1
 2929, UA2_21_25,    0.674V ,    0.674V ,  35.0,  35.0, 2, U, 599, 394, A1, 2.0225854V , 1
 2950, PU1301_1_2,    0.692V ,    0.692V ,  35.0,  35.0, 2, U, 1, 3244, A1, 2.0423468V , 1
 2990, UUS8_3_2,    0.736V ,    0.736V ,  35.0,  35.0, 2, U, 1, 355, A1, 0.4294299V , 1
 3017, USI3_5_8,    0.805V ,    0.805V ,  35.0,  35.0, 2, U, 3207, 323, A1, 1.5573485V , 1
 3018, USI3_6_8,    0.798V ,    0.798V ,  35.0,  35.0, 2, U, 3206, 323, A1, 1.5531260V , 1
 3081, UTM1_7_2,    0.607V ,    0.607V ,  35.0,  35.0, 2, U, 370, 366, A1, 1.6737211V , 1
 3083, UTM1_17_2,    0.592V ,    0.592V ,  35.0,  35.0, 2, U, 370, 976, A1, 1.6609691V , 1
 3084, UTM1_19_2,    0.567V ,    0.567V ,  35.0,  35.0, 2, U, 370, 356, A1, 1.5081984V , 1
 3085, UTM1_21_2,    0.562V ,    0.562V ,  35.0,  35.0, 2, U, 370, 368, A1, 1.9039327V , 1
 3091, UTM1_21_22,    0.878V ,    0.878V ,  35.0,  35.0, 2, U, 368, 915, A1, 2.2188480V , 1
 3137, DUS12_2_3,    0.778V ,    0.778V ,  35.0,  35.0, 2, U, 1, 291, A1, 2.1253614V , 1
 3138, DUS12_10_3,    0.775V ,    0.775V ,  35.0,  35.0, 2, U, 1, 291, A1, 2.1249392V , 1
 3139, DUS12_2_1,    0.962V ,    0.962V ,  35.0,  35.0, 2, U, 291, 290, A1, 2.3106455V , 1
 3140, DUS12_10_1,    0.966V ,    0.966V ,  35.0,  35.0, 2, U, 291, 290, A1, 2.3158814V , 1

Open <1010> < 289 1010 > -> <1010>-USB32_RX_1_P Parts:U1.EV19; <289>-USB32_RX_P1_C_P Parts:DUS12.7
